,property_type,seller,status,rate per sqft,price,area,location,RERA
509,4 BHK Independent House,seller,Under Construction,"5,837 / sq ft", 1.45 Cr,2484 ,Aminpur,not approval by RERA
510,4 BHK Villa in Sri Sri Gruhanirman Sri Antahpuram,seller,Ready to move,"6,060 / sq ft", 2 Cr,3300 ,Bongloor,not approval by RERA
511,3 BHK Apartment,seller,Under Construction,"2,507 / sq ft", 39.5 L,1575 ,Indresham,not approval by RERA
512,2 BHK Apartment,seller,Under Construction,"2,500 / sq ft", 25.5 L,1020 ,Indresham,not approval by RERA
513,3 BHK Apartment,seller,Ready to move,"6,857 / sq ft", 1.2 Cr,1750 ,Manikonda,not approval by RERA
514,5 BHK Independent House,seller,Under Construction,"4,838 / sq ft", 2.25 Cr,4650 ,Kompally,not approval by RERA
515,2 BHK Apartment in Surya Constructions Saketh Arcade,seller,Ready to move,"3,636 / sq ft", 40 L,1100 ,Nizampet,not approval by RERA
516,2 BHK Apartment,seller,Ready to move,"5,094 / sq ft", 54 L,1060 ,Boduppal,not approval by RERA
517,2 BHK Apartment,seller,Under Construction,"4,166 / sq ft", 45 L,1080 ,Madhapur,not approval by RERA
518,2 BHK Apartment,seller,Under Construction,"6,723 / sq ft", 79 L,1175 ,Serilingampally,not approval by RERA
519,2 BHK Apartment in Vasavi Shanthinikethan,seller,Ready to move,"10,526 / sq ft", 1.3 Cr,1235 ,Hitech City,not approval by RERA
520,2 BHK Apartment,seller,Ready to move,"5,094 / sq ft", 54 L,1060 ,Boduppal,not approval by RERA
521,2 BHK Apartment,seller,Under Construction,"4,166 / sq ft", 45 L,1080 ,Madhapur,not approval by RERA
522,2 BHK Apartment,seller,Under Construction,"6,723 / sq ft", 79 L,1175 ,Serilingampally,not approval by RERA
523,2 BHK Apartment in Vasavi Shanthinikethan,seller,Ready to move,"10,526 / sq ft", 1.3 Cr,1235 ,Hitech City,not approval by RERA
524,4 BHK Villa in Sri Sri Gruhanirman Sri Antahpuram,seller,Ready to move,"6,060 / sq ft", 2 Cr,3300 ,Bongloor,not approval by RERA
525,2 BHK Independent House,seller,Ready to move,"6,457 / sq ft", 70 L,1084 ,Dammaiguda,not approval by RERA
526,4 BHK Villa in Northstar Allura,seller,Under Construction,"13,333 / sq ft", 6 Cr,4500 ,Kokapet,approval by RERA
527,8 BHK Independent House,seller,Ready to move,"5,833 / sq ft", 3.5 Cr,6000 ,Chandanagar,not approval by RERA
528,4 BHK Apartment in Prestige High Fields Ph II,seller,Ready to move,"8,286 / sq ft", 2.36 Cr,2848 ,Puppalaguda,not approval by RERA
529,2 BHK Apartment in P R Residency,seller,Ready to move,"5,130 / sq ft", 59 L,1150 ,Bandlaguda Jagir,not approval by RERA
530,2 BHK Apartment,seller,Ready to move,"4,560 / sq ft", 27 L,592 ,Dilsukh Nagar,not approval by RERA
531,3 BHK Independent House,seller,Ready to move,"4,736 / sq ft", 45 L,950 ,chandrayangutta,not approval by RERA
532,3 BHK Apartment in Prestige Beverly Hills,seller,Under Construction,"7,888 / sq ft", 1.42 Cr,1800 ,Kokapet,approval by RERA
533,2 BHK Apartment,seller,Ready to move,"10,699 / sq ft", 1.3 Cr,1215 ,Jubilee Hills,not approval by RERA
534,3 BHK Apartment,seller,Ready to move,"7,397 / sq ft", 1.35 Cr,1825 ,Begumpet,not approval by RERA
535,3 BHK Apartment,seller,Ready to move,"10,000 / sq ft", 1.8 Cr,1800 ,West Marredpally,not approval by RERA
