,property_type,seller,status,rate per sqft,price,area,location,RERA
835,2 BHK Apartment in Engineers Sri Tirumala Millennium Phase II,EAPL Group,Under Construction,"4,999 / sq ft", 54.43 L,1089 ,Mallampet,approval by RERA
836,3 BHK Apartment in Engineers Sri Tirumala Millennium Phase II,EAPL Group,Under Construction,"4,999 / sq ft", 67.48 L,1350 ,Mallampet,approval by RERA
837,3 BHK Apartment in Engineers Sri Tirumala Millennium Phase II,EAPL Group,Under Construction,"4,999 / sq ft", 66.13 L,1323 ,Mallampet,approval by RERA
838,3 BHK Apartment in Engineers Sri Tirumala Millennium Phase II,EAPL Group,Under Construction,"4,999 / sq ft", 72.88 L,1458 ,Mallampet,approval by RERA
839,3 BHK Apartment in Engineers Sri Tirumala Millennium Phase II,EAPL Group,Under Construction,"4,999 / sq ft", 79.63 L,1593 ,Mallampet,approval by RERA
840,3 BHK Apartment in Engineers Sri Tirumala Millennium Phase II,EAPL Group,Under Construction,"4,999 / sq ft", 73.33 L,1467 ,Mallampet,approval by RERA
841,2 BHK Apartment in Engineers Sri Tirumala Millennium Phase II,EAPL Group,Under Construction,"4,999 / sq ft", 58.93 L,1179 ,Mallampet,approval by RERA
842,3 BHK Apartment in Engineers Sri Tirumala Millennium Phase II,EAPL Group,Under Construction,"4,999 / sq ft", 85.03 L,1701 ,Mallampet,approval by RERA
843,2 BHK Apartment in Engineers Sri Tirumala Millennium Phase II,EAPL Group,Under Construction,"4,999 / sq ft", 59.38 L,1188 ,Mallampet,approval by RERA
844,3 BHK Apartment in Engineers Sri Tirumala Millennium Phase II,EAPL Group,Under Construction,"4,999 / sq ft", 75.13 L,1503 ,Mallampet,approval by RERA
845,3 BHK Apartment in Engineers Sri Tirumala Millennium Phase II,EAPL Group,Under Construction,"4,999 / sq ft", 72.43 L,1449 ,Mallampet,approval by RERA
846,2 BHK Apartment in Engineers Sri Tirumala Millennium Phase II,EAPL Group,Under Construction,"4,999 / sq ft", 55.33 L,1107 ,Mallampet,approval by RERA
847,3 BHK Apartment in Engineers Sri Tirumala Millennium Phase II,EAPL Group,Under Construction,"4,999 / sq ft", 71.08 L,1422 ,Mallampet,approval by RERA
848,3 BHK Apartment in Engineers Sri Tirumala Millennium Phase II,EAPL Group,Under Construction,"4,999 / sq ft", 75.58 L,1512 ,Mallampet,approval by RERA
849,3 BHK Apartment in Engineers Sri Tirumala Millennium Phase II,EAPL Group,Under Construction,"4,999 / sq ft", 69.28 L,1386 ,Mallampet,approval by RERA
850,2 BHK Apartment in Engineers Sri Tirumala Millennium Phase II,EAPL Group,Under Construction,"4,999 / sq ft", 55.78 L,1116 ,Mallampet,approval by RERA
851,3 BHK Apartment in Engineers Sri Tirumala Millennium Phase II,EAPL Group,Under Construction,"4,999 / sq ft", 77.83 L,1557 ,Mallampet,approval by RERA
852,3 BHK Apartment in Engineers Sri Tirumala Millennium Phase II,EAPL Group,Under Construction,"4,999 / sq ft", 82.33 L,1647 ,Mallampet,approval by RERA
853,3 BHK Apartment in Engineers Sri Tirumala Millennium Phase II,EAPL Group,Under Construction,"4,999 / sq ft", 62.53 L,1251 ,Mallampet,approval by RERA
854,3 BHK Apartment in Engineers Sri Tirumala Millennium Phase II,EAPL Group,Under Construction,"4,999 / sq ft", 74.68 L,1494 ,Mallampet,approval by RERA
855,3 BHK Apartment in Engineers Sri Tirumala Millennium Phase II,EAPL Group,Under Construction,"4,999 / sq ft", 71.53 L,1431 ,Mallampet,approval by RERA
856,3 BHK Apartment in Engineers Sri Tirumala Millennium Phase II,EAPL Group,Under Construction,"4,999 / sq ft", 80.08 L,1602 ,Mallampet,approval by RERA
857,3 BHK Apartment in Engineers Sri Tirumala Millennium Phase II,EAPL Group,Under Construction,"4,999 / sq ft", 84.58 L,1692 ,Mallampet,approval by RERA
858,3 BHK Apartment in Engineers Sri Tirumala Millennium Phase II,EAPL Group,Under Construction,"4,999 / sq ft", 73.78 L,1476 ,Mallampet,approval by RERA
859,2 BHK Apartment in Engineers Sri Tirumala Millennium Phase II,EAPL Group,Under Construction,"4,999 / sq ft", 54.43 L,1089 ,Mallampet,approval by RERA
860,3 BHK Apartment in Engineers Sri Tirumala Millennium Phase II,EAPL Group,Under Construction,"4,999 / sq ft", 67.48 L,1350 ,Mallampet,approval by RERA
861,3 BHK Apartment in Engineers Sri Tirumala Millennium Phase II,EAPL Group,Under Construction,"4,999 / sq ft", 66.13 L,1323 ,Mallampet,approval by RERA
862,3 BHK Apartment in Engineers Sri Tirumala Millennium Phase II,EAPL Group,Under Construction,"4,999 / sq ft", 89.98 L,1800 ,Mallampet,approval by RERA
863,3 BHK Apartment in Engineers Sri Tirumala Millennium Phase II,EAPL Group,Under Construction,"4,999 / sq ft", 72.88 L,1458 ,Mallampet,approval by RERA
864,3 BHK Apartment in Engineers Sri Tirumala Millennium Phase II,EAPL Group,Under Construction,"4,999 / sq ft", 79.63 L,1593 ,Mallampet,approval by RERA
865,3 BHK Apartment in Engineers Sri Tirumala Millennium Phase II,EAPL Group,Under Construction,"4,999 / sq ft", 73.33 L,1467 ,Mallampet,approval by RERA
866,2 BHK Apartment in Engineers Sri Tirumala Millennium Phase II,EAPL Group,Under Construction,"4,999 / sq ft", 58.93 L,1179 ,Mallampet,approval by RERA
867,2 BHK Apartment in Engineers Sri Tirumala Millennium Phase II,EAPL Group,Under Construction,"4,999 / sq ft", 57.13 L,1143 ,Mallampet,approval by RERA
868,3 BHK Apartment in Engineers Sri Tirumala Millennium Phase II,EAPL Group,Under Construction,"4,999 / sq ft", 85.03 L,1701 ,Mallampet,approval by RERA
869,2 BHK Apartment in Engineers Sri Tirumala Millennium Phase II,EAPL Group,Under Construction,"4,999 / sq ft", 59.38 L,1188 ,Mallampet,approval by RERA
870,3 BHK Apartment in Engineers Sri Tirumala Millennium Phase II,EAPL Group,Under Construction,"4,999 / sq ft", 72.43 L,1449 ,Mallampet,approval by RERA
871,2 BHK Apartment in Engineers Sri Tirumala Millennium Phase II,EAPL Group,Under Construction,"4,999 / sq ft", 57.58 L,1152 ,Mallampet,approval by RERA
872,5 BHK Villa in Mythri The Town,seller,Ready to move,"5,903 / sq ft", 1.83 Cr,3100 ,Yapral,not approval by RERA
873,2 BHK Apartment,seller,Ready to move,"7,000 / sq ft", 84 L,1200 ,Hitech City,not approval by RERA
874,3 BHK Apartment,seller,Ready to move,"5,506 / sq ft", 1.06 Cr,1925 ,Kokapet,not approval by RERA
875,2 BHK Apartment in Lalitha Divine County,seller,Under Construction,"4,666 / sq ft", 56 L,1200 ,Ameenpur,approval by RERA
876,3 BHK Apartment in Swaraj Homes Udaya Park View,seller,Ready to move,"8,108 / sq ft", 1.5 Cr,1850 ,Himayat Nagar,not approval by RERA
877,2 BHK Apartment,seller,Under Construction,"2,000 / sq ft", 24 L,1200 ,Bhanur,not approval by RERA
878,2 BHK Apartment,seller,Under Construction,"1,934 / sq ft", 23.5 L,1215 ,Bhanur,not approval by RERA
879,2 BHK Apartment in AV Lalitha Divine County,seller,Under Construction,"4,300 / sq ft", 51.6 L,1200 ,Ameenpur,approval by RERA
880,3 BHK Villa in Gem Estrella Kuber,seller,Ready to move,"10,799 / sq ft", 3.7 Cr,3426 ,Kollur,not approval by RERA
881,2 BHK Apartment,seller,Under Construction,"2,000 / sq ft", 24 L,1200 ,Bhanur,not approval by RERA
882,2 BHK Apartment,seller,Under Construction,"1,934 / sq ft", 23.5 L,1215 ,Bhanur,not approval by RERA
883,3 BHK Apartment in Hallmark Tranquil,seller,Under Construction,"8,559 / sq ft", 1.7 Cr,1986 ,Manikonda,approval by RERA
884,3 BHK Apartment in Shweta Aryan,seller,Ready to move,"7,142 / sq ft", 1.1 Cr,1540 ,Kompally,not approval by RERA
885,2 BHK Apartment,seller,Under Construction,"4,757 / sq ft", 49 L,1030 ,Boduppal,not approval by RERA
886,5 BHK Villa in Legend Marigold,seller,Ready to move,"9,862 / sq ft", 2.65 Cr,2687 ,Nallagandla Gachibowli,not approval by RERA
887,2 BHK Apartment,seller,Under Construction,"3,400 / sq ft", 41.14 L,1210 ,Boduppal,not approval by RERA
888,5 BHK Independent House,seller,Ready to move,"4,444 / sq ft", 1.6 Cr,3600 ,Bandlaguda Jagir,not approval by RERA
889,3 BHK Apartment,seller,Under Construction,"1,739 / sq ft", 36 L,2070 ,Bhanur,not approval by RERA
890,3 BHK Apartment in Prestige High Fields,seller,Ready to move,"8,897 / sq ft", 1.55 Cr,1742 ,Gachibowli,not approval by RERA
891,3 BHK Independent House,seller,Ready to move,"6,969 / sq ft", 1.15 Cr,1650 ,Alwal,not approval by RERA
892,3 BHK Apartment in Sai Priya Homes,seller,Ready to move,"3,181 / sq ft", 35 L,1100 ,Ramachandrapuram,not approval by RERA
893,3 BHK Apartment,seller,Ready to move,"3,531 / sq ft", 50 L,1416 ,Mallampet,not approval by RERA
894,2 BHK Apartment in AVN Residency,seller,Ready to move,"6,683 / sq ft", 80 L,1197 ,Kondapur,not approval by RERA
895,2 BHK Apartment,seller,Under Construction,"1,904 / sq ft", 19.99 L,1050 ,Bhanur,not approval by RERA
896,10 BHK Independent House,seller,Ready to move,"4,444 / sq ft", 2 Cr,4500 ,Banjara Hills,not approval by RERA
897,3 BHK Apartment,seller,Ready to move,"5,393 / sq ft", 89 L,1650 ,Neknampur,not approval by RERA
898,3 BHK Villa,seller,Under Construction,"4,772 / sq ft", 1.05 Cr,2200 ,Mokila,not approval by RERA
899,2 BHK Apartment in Siri Dream Homes,seller,Ready to move,"6,571 / sq ft", 69 L,1050 ,Hanuman Nagar,not approval by RERA
900,2 BHK Apartment in Aliens Elite,seller,Ready to move,"5,454 / sq ft", 60 L,1100 ,Miyapur,not approval by RERA
901,3 BHK Apartment in Swaraj Homes Modern Enclave,seller,Ready to move,"13,043 / sq ft", 1.5 Cr,1150 ,Mehdipatnam,not approval by RERA
902,2 BHK Apartment in Praneeth Pranav Flora,Praneeth,Under Construction,"4,298 / sq ft", 49.55 L,1153 ,Bahadurpally,approval by RERA
903,2 BHK Apartment in Praneeth Pranav Flora,Praneeth,Under Construction,"4,298 / sq ft", 49.55 L,1153 ,Bahadurpally,approval by RERA
904,2 BHK Apartment in Praneeth Pranav Flora,Praneeth,Under Construction,"4,298 / sq ft", 49.55 L,1153 ,Bahadurpally,approval by RERA
905,2 BHK Apartment in Praneeth Pranav Flora,Praneeth,Under Construction,"4,298 / sq ft", 49.55 L,1153 ,Bahadurpally,approval by RERA
906,2 BHK Apartment,seller,Ready to move,"6,521 / sq ft", 75 L,1150 ,Afzal Gunj,not approval by RERA
907,3 BHK Independent House,seller,Ready to move,"15,312 / sq ft", 2.45 Cr,1600 ,Santoshnagar,not approval by RERA
908,3 BHK Apartment in Aashray Aashray Anil Residency,seller,Ready to move,"9,768 / sq ft", 1.88 Cr,1930 ,East Marredpally,not approval by RERA
909,2 BHK Apartment in  Vedavyasa Nilayam,seller,Ready to move,"6,951 / sq ft", 72.5 L,1043 ,Kothapet,not approval by RERA
910,2 BHK Apartment,seller,Under Construction,"4,016 / sq ft", 49.99 L,1245 ,TurkaYamjal,not approval by RERA
911,3 BHK Apartment,seller,Under Construction,"4,506 / sq ft", 68 L,1509 ,AS Rao Nagar,not approval by RERA
912,3 BHK Apartment,seller,Ready to move,"6,137 / sq ft", 89 L,1450 ,Kondapur,not approval by RERA
913,2 BHK Apartment,seller,Under Construction,"4,846 / sq ft", 55.97 L,1155 ,Gajularamaram,not approval by RERA
914,2 BHK Apartment,seller,Under Construction,"2,083 / sq ft", 25 L,1200 ,Bhanur,not approval by RERA
915,2 BHK Independent House,seller,Ready to move,"6,969 / sq ft", 1.15 Cr,1650 ,Alwal,not approval by RERA
916,2 BHK Apartment in Parnika Elite Projects,seller,Under Construction,"6,800 / sq ft", 75.48 L,1110 ,Kothapet,approval by RERA
917,2 BHK Apartment,seller,Ready to move,"4,000 / sq ft", 47 L,1175 ,Pragathi Nagar Kukatpally,not approval by RERA
918,2 BHK Apartment,seller,Under Construction,"4,400 / sq ft", 55 L,1250 ,Aminpur,not approval by RERA
919,2 BHK Apartment,seller,Ready to move,"5,909 / sq ft", 65 L,1100 ,West Marredpally,not approval by RERA
920,2 BHK Apartment,seller,Ready to move,"5,500 / sq ft", 66 L,1200 ,Chandanagar,not approval by RERA
921,3 BHK Apartment,seller,Ready to move,"5,172 / sq ft", 75 L,1450 ,Sri Nagar Colony,not approval by RERA
922,4 BHK Independent House in Pragati NJR KLR Nagar,seller,Under Construction,"4,388 / sq ft", 79 L,1800 ,Medchal,approval by RERA
923,2 BHK Apartment,seller,Ready to move,"4,500 / sq ft", 36 L,800 ,Hyder Nagar,not approval by RERA
924,5 BHK Independent House,seller,Ready to move,"4,629 / sq ft", 2.49 Cr,5400 ,Jubilee Hills,not approval by RERA
925,5 BHK Independent House,seller,Ready to move,"5,333 / sq ft", 1.6 Cr,3000 ,Gaddi Annaram,not approval by RERA
926,2 BHK Apartment in Ramky Greenview Apartments,seller,Ready to move,"5,268 / sq ft", 54 L,1025 ,Maheshwaram,not approval by RERA
927,3 BHK Apartment,seller,Ready to move,"4,480 / sq ft", 56 L,1250 ,Padmarao Nagar,not approval by RERA
928,2 BHK Apartment in Reputed Builder Bhanu Township,seller,Ready to move,"5,678 / sq ft", 56.5 L,995 ,Miyapur,not approval by RERA
929,10 BHK Independent House,seller,Ready to move,"5,000 / sq ft", 2.5 Cr,5000 ,Bapu Nagar,not approval by RERA
930,3 BHK Villa,seller,Ready to move,"5,125 / sq ft", 1.23 Cr,2400 ,Dammaiguda,not approval by RERA
931,2 BHK Apartment,seller,Under Construction,"5,217 / sq ft", 60 L,1150 ,Saroornagar,not approval by RERA
932,2 BHK Apartment in Om Omkar Heights,seller,Ready to move,"6,854 / sq ft", 85 L,1240 ,Padmarao Nagar,not approval by RERA
933,3 BHK Apartment in Alekhya Palm Woods,seller,Ready to move,"10,946 / sq ft", 1.85 Cr,1690 ,Nanakramguda,not approval by RERA
934,3 BHK Apartment in Sri Krishna Krishe Valley,seller,Ready to move,"7,900 / sq ft", 1.9 Cr,2414 ,Banjara Hills,not approval by RERA
935,3 BHK Apartment,seller,Under Construction,"6,357 / sq ft", 89 L,1400 ,Kokapet,not approval by RERA
936,2 BHK Apartment,seller,Ready to move,"3,500 / sq ft", 35 L,1000 ,Miyapur,not approval by RERA
937,4 BHK Independent House,seller,Ready to move,"8,648 / sq ft", 1.6 Cr,1850 ,Ramanthapur,not approval by RERA
938,2 BHK Apartment in Sri Ornate,seller,Under Construction,"3,000 / sq ft", 34.05 L,1135 ,Kollur,approval by RERA
939,2 BHK Apartment,seller,Ready to move,"5,213 / sq ft", 54.99 L,1055 ,Hyder Nagar,not approval by RERA
940,8 BHK Independent House,seller,Ready to move,"3,214 / sq ft", 2.25 Cr,7000 ,Nagaram,not approval by RERA
941,8 BHK Independent House,seller,Ready to move,"3,214 / sq ft", 2.25 Cr,7000 ,Nagaram,not approval by RERA
942,3 BHK Apartment,seller,Ready to move,"5,655 / sq ft", 82 L,1450 ,Miyapur,not approval by RERA
943,3 BHK Apartment in Kamala Amulya Heights,seller,Ready to move,"5,555 / sq ft", 90 L,1620 ,Kushaiguda,not approval by RERA
944,2 BHK Apartment,seller,Ready to move,"5,213 / sq ft", 54.99 L,1055 ,Hyder Nagar,not approval by RERA
945,2 BHK Apartment in Satya Bhaskar Avenue,seller,Ready to move,"4,000 / sq ft", 48 L,1200 ,Madhura Nagar,not approval by RERA
946,3 BHK Apartment,seller,Under Construction,"6,348 / sq ft", 1.13 Cr,1780 ,Kapra,not approval by RERA
947,2 BHK Apartment,seller,Ready to move,"4,880 / sq ft", 57 L,1168 ,Mallapur,not approval by RERA
948,3 BHK Apartment in SMR Vinay Iconia Phase 2,seller,Ready to move,"7,243 / sq ft", 1.7 Cr,2347 ,Serilingampally,not approval by RERA
949,4 BHK Apartment in Perioneira Decena,seller,Ready to move,"5,681 / sq ft", 1.25 Cr,2200 ,Narsingi,not approval by RERA
950,2 BHK Apartment,seller,Ready to move,"4,705 / sq ft", 48 L,1020 ,Mallapur,not approval by RERA
951,3 BHK Villa,seller,Ready to move,"6,600 / sq ft", 1.65 Cr,2500 ,Kapra,not approval by RERA
952,2 BHK Apartment in Reputed Builder Layakari Poorvi Residency,seller,Ready to move,"5,392 / sq ft", 55 L,1020 ,Ramachandra Puram,not approval by RERA
953,2 BHK Apartment,seller,Under Construction,"2,434 / sq ft", 28 L,1150 ,Bhanur,not approval by RERA
954,5 BHK Independent House,seller,Ready to move,"5,000 / sq ft", 1.25 Cr,2500 ,Adibatla,not approval by RERA
955,2 BHK Apartment,seller,Ready to move,"6,500 / sq ft", 65 L,1000 ,Boudhanagar Colony,not approval by RERA
956,2 BHK Apartment in SNR The Elite,seller,Under Construction,"5,399 / sq ft", 69.65 L,1290 ,Gopanpally,approval by RERA
957,2 BHK Apartment in Urbanrise Residences,seller,Under Construction,"5,732 / sq ft", 63 L,1099 ,Bachupally,approval by RERA
958,2 BHK Apartment,seller,Ready to move,"5,384 / sq ft", 56 L,1040 ,Toli Chowki,not approval by RERA
959,5 BHK Independent House,seller,Ready to move,"8,333 / sq ft", 5 Cr,6000 ,Mansanpally,not approval by RERA
960,2 BHK Apartment,seller,Ready to move,"6,400 / sq ft", 80 L,1250 ,Manikonda,not approval by RERA
961,2 BHK Apartment,seller,Ready to move,"4,888 / sq ft", 55 L,1125 ,Gajularamaram,not approval by RERA
962,2 BHK Apartment,seller,Ready to move,"3,900 / sq ft", 39 L,1000 ,Old Malakpet,not approval by RERA
963,5 BHK Independent House,seller,Ready to move,"5,000 / sq ft", 1.5 Cr,3000 ,Kapra,not approval by RERA
964,3 BHK Apartment in Veekay The Communittee,seller,Under Construction,"5,625 / sq ft", 90 L,1600 ,Mokila,approval by RERA
965,2 BHK Apartment,seller,Ready to move,"6,923 / sq ft", 90 L,1300 ,Sainikpuri,not approval by RERA
966,2 BHK Apartment in Urbanrise On Cloud 33,seller,Under Construction,"5,300 / sq ft", 58.24 L,1099 ,Bachupally,approval by RERA
967,2 BHK Apartment in Giridhari Avighna,seller,Ready to move,"6,666 / sq ft", 80 L,1200 ,Bandlaguda Jagir,not approval by RERA
968,2 BHK Apartment in Jain Carlton Creek,seller,Ready to move,"7,481 / sq ft", 79 L,1056 ,Manikonda,not approval by RERA
969,3 BHK Apartment,seller,Ready to move,"6,666 / sq ft", 80 L,1200 ,Dilsukh Nagar,not approval by RERA
970,3 BHK Apartment in SST Jewel Crest,seller,Ready to move,"7,500 / sq ft", 1.27 Cr,1700 ,Shaikpet,not approval by RERA
971,3 BHK Apartment in Modi Sterling Heights,seller,Ready to move,"5,108 / sq ft", 80 L,1566 ,Gundlapochampally,not approval by RERA
972,4 BHK Independent House,seller,Ready to move,"5,535 / sq ft", 1.55 Cr,2800 ,Kompally,not approval by RERA
973,3 BHK Apartment in Muppa Aishwarya Condos,seller,Ready to move,"6,666 / sq ft", 1.1 Cr,1650 ,Narsingi,not approval by RERA
974,3 BHK Apartment in Salarpuria Magnus,Salarpuria Sattva,Ready to move,"10,654 / sq ft", 2.45 Cr,2300 ,Shaikpet,not approval by RERA
975,4 BHK Apartment in Salarpuria Magnus,Salarpuria Sattva,Ready to move,"10,566 / sq ft", 3.13 Cr,2965 ,Shaikpet,not approval by RERA
976,3 BHK Apartment in Salarpuria Magnus,Salarpuria Sattva,Ready to move,"9,855 / sq ft", 2.21 Cr,2245 ,Shaikpet,not approval by RERA
977,4 BHK Apartment in Salarpuria Magnus,Salarpuria Sattva,Ready to move,"10,567 / sq ft", 3.12 Cr,2960 ,Shaikpet,not approval by RERA
978,3 BHK Apartment in Salarpuria Magnus,Salarpuria Sattva,Ready to move,"10,708 / sq ft", 2.42 Cr,2260 ,Shaikpet,not approval by RERA
979,3 BHK Apartment in Salarpuria Magnus,Salarpuria Sattva,Ready to move,"10,658 / sq ft", 2.42 Cr,2275 ,Shaikpet,not approval by RERA
